fix_commit,fname,changed_lines,bug_commits
83d2989e,helpers/defender-utils.ts,"[[('-27', '1'), ('+27', '1')], [('-33', '1'), ('+33', '1')]]",{'329a48cd0'}
2d769f44,test/helpers/scenarios/borrow-repay-stable.json,"[[('-91', '1'), ('+91', '35')]]",{'82de55fdb'}
2c19aeb8,contracts/protocol/lendingpool/LendingPoolConfigurator.sol,"[[('-491', '1'), ('+491', '3')]]",{'7acbd2925'}
2dfcc970,contracts/lendingpool/LendingPoolCore.sol,"[[('-430', '1'), ('+430', '1')], [('-449', '1'), ('+449', '1')], [('-464', '1'), ('+464', '1')], [('-1752', '9'), ('+1752', '4')]]",{'b889cb25b'}
0d7be4e7,contracts/tokenization/StableDebtToken.sol,"[[('-175', '1'), ('+175', '1')]]",{'aba38a800'}
9f71c7da,contracts/protocol/libraries/logic/ValidationLogic.sol,"[[('-111', '0'), ('+112', '1')], [('-248', '0'), ('+250', '1')], [('-283', '0'), ('+286', '1')], [('-287', '1'), ('+290', '1')], [('-330', '0'), ('+334', '1')], [('-414', '0'), ('+419', '1')], [('-416', '0'), ('+422', '6')]]",{'92a731ec2'}
917f6329,helpers/contracts-getters.ts,"[[('-171', '2'), ('+171', '2')], [('-174', '10'), ('+174', '10')]]","{'53d92ccfe', '88a2cb21f'}"
917f6329,helpers/types.ts,"[[('-204', '2'), ('+204', '7')], [('-238', '7'), ('+243', '7')]]",{'4637476bb'}
917f6329,markets/aave/commons.ts,"[[('-26', '2'), ('+26', '7')]]",{'4637476bb'}
917f6329,markets/uniswap/commons.ts,"[[('-26', '2'), ('+26', '7')], [('-57', '1'), ('+62', '1')], [('-60', '1'), ('+65', '1')], [('-63', '1'), ('+68', '1')], [('-66', '1'), ('+71', '1')], [('-69', '1'), ('+74', '1')], [('-72', '1'), ('+77', '1')], [('-75', '1'), ('+80', '1')], [('-228', '0'), ('+234', '6')], [('-230', '2'), ('+240', '0')]]","{'4637476bb', '57986b76a'}"
917f6329,markets/uniswap/index.ts,"[[('-24', '7'), ('+24', '7')], [('-37', '7'), ('+37', '7')], [('-68', '7'), ('+68', '7')]]","{'9e001ec0b', '4637476bb', 'ced0bc3df'}"
917f6329,package-lock.json,"[[('-5586', '1'), ('+5586', '2')], [('-5591', '1'), ('+5592', '2')], [('-5599', '1'), ('+5601', '2')], [('-5607', '1'), ('+5610', '2')], [('-5615', '1'), ('+5619', '2')], [('-5620', '1'), ('+5625', '2')], [('-5625', '1'), ('+5631', '2')], [('-5638', '1'), ('+5645', '2')], [('-5643', '1'), ('+5651', '2')], [('-5648', '1'), ('+5657', '2')], [('-5653', '1'), ('+5663', '2')], [('-5662', '1'), ('+5673', '2')], [('-5672', '1'), ('+5684', '2')], [('-5680', '1'), ('+5693', '2')], [('-5685', '1'), ('+5699', '2')], [('-5697', '1'), ('+5712', '2')], [('-5710', '1'), ('+5726', '2')], [('-5722', '1'), ('+5739', '2')], [('-5727', '1'), ('+5745', '2')], [('-5737', '1'), ('+5756', '2')], [('-5751', '1'), ('+5771', '2')], [('-5756', '1'), ('+5777', '2')], [('-5764', '1'), ('+5786', '2')], [('-5778', '1'), ('+5801', '2')], [('-5787', '1'), ('+5811', '2')], [('-5796', '1'), ('+5821', '2')], [('-5810', '1'), ('+5836', '2')], [('-5815', '1'), ('+5842', '2')], [('-5823', '1'), ('+5851', '2')], [('-5828', '1'), ('+5857', '2')], [('-5836', '1'), ('+5866', '2')], [('-5845', '1'), ('+5876', '2')], [('-5854', '1'), ('+5886', '2')], [('-5864', '1'), ('+5897', '2')], [('-5869', '1'), ('+5903', '2')], [('-5874', '1'), ('+5909', '2')], [('-5879', '1'), ('+5915', '2')], [('-5884', '1'), ('+5921', '2')], [('-5889', '1'), ('+5927', '2')], [('-5894', '1'), ('+5933', '2')], [('-5905', '1'), ('+5945', '2')], [('-5913', '1'), ('+5954', '2')], [('-5922', '1'), ('+5964', '2')], [('-5930', '1'), ('+5973', '2')], [('-5940', '1'), ('+5984', '2')], [('-5950', '1'), ('+5995', '2')], [('-5955', '1'), ('+6001', '2')], [('-5960', '1'), ('+6007', '2')], [('-5965', '1'), ('+6013', '2')], [('-5970', '1'), ('+6019', '2')], [('-5975', '1'), ('+6025', '2')], [('-5983', '1'), ('+6034', '2')], [('-5991', '1'), ('+6043', '2')], [('-6001', '1'), ('+6054', '2')], [('-6006', '1'), ('+6060', '2')], [('-6011', '1'), ('+6066', '2')], [('-6016', '1'), ('+6072', '2')], [('-6024', '1'), ('+6081', '2')], [('-6032', '1'), ('+6090', '2')], [('-6037', '1'), ('+6096', '2')], [('-6042', '1'), ('+6102', '2')], [('-6047', '1'), ('+6108', '2')], [('-6056', '1'), ('+6118', '2')], [('-6061', '1'), ('+6124', '2')], [('-6066', '1'), ('+6130', '2')], [('-6075', '1'), ('+6140', '2')], [('-6084', '1'), ('+6150', '2')], [('-6089', '1'), ('+6156', '2')], [('-6104', '1'), ('+6172', '2')], [('-6109', '1'), ('+6178', '2')], [('-6114', '1'), ('+6184', '2')], [('-6123', '1'), ('+6194', '2')], [('-6131', '1'), ('+6203', '2')], [('-6136', '1'), ('+6209', '2')], [('-6141', '1'), ('+6215', '2')], [('-6146', '1'), ('+6221', '2')], [('-6155', '1'), ('+6231', '2')], [('-6165', '1'), ('+6242', '2')], [('-6173', '1'), ('+6251', '2')], [('-6178', '1'), ('+6257', '2')], [('-6186', '1'), ('+6266', '2')], [('-6194', '1'), ('+6275', '2')], [('-6199', '1'), ('+6281', '2')], [('-6209', '1'), ('+6292', '2')], [('-6214', '1'), ('+6298', '2')], [('-6219', '1'), ('+6304', '2')], [('-6237', '1'), ('+6323', '2')]]",{'53d92ccfe'}
b5f2f283,config/commons.ts,"[[('-134', '2'), ('+134', '3')], [('-143', '1'), ('+144', '10')]]","{'ffc81df4e', 'b3896fa4e'}"
b5f2f283,contracts/configuration/LendingPoolAddressesProvider.sol,"[[('-24', '1'), ('+24', '2')], [('-117', '2'), ('+118', '2')], [('-121', '3'), ('+122', '12')]]","{'2a6248c6d', '099532ee4'}"
b5f2f283,contracts/interfaces/ILendingPool.sol,"[[('-36', '7'), ('+35', '0')], [('-199', '21'), ('+191', '0')]]","{'c0c313376', '6d96be5f4', 'edfe17bd9', '3173bee78'}"
b5f2f283,contracts/interfaces/ILendingPoolAddressesProvider.sol,"[[('-11', '1'), ('+11', '2')], [('-40', '1'), ('+41', '1')], [('-42', '1'), ('+43', '5')]]",{'2a6248c6d'}
b5f2f283,contracts/lendingpool/LendingPool.sol,"[[('-169', '47'), ('+168', '0')], [('-340', '0'), ('+294', '1')], [('-352', '0'), ('+307', '1')], [('-413', '0'), ('+369', '1')], [('-901', '8'), ('+856', '0')], [('-920', '0'), ('+869', '1')], [('-926', '0'), ('+876', '1')]]","{'f513ebee3', 'd135c25b3', '12f1dbd0d', '1ac0a4539', 'edfe17bd9', '3173bee78', '54bae079c', '6d96be5f4', '2e30bb8b8', 'c0c313376'}"
b5f2f283,contracts/lendingpool/LendingPoolConfigurator.sol,"[[('-191', '1'), ('+191', '1')], [('-193', '2'), ('+193', '13')], [('-223', '1'), ('+234', '1')], [('-290', '1'), ('+301', '1')], [('-303', '1'), ('+314', '1')], [('-316', '1'), ('+327', '1')], [('-331', '1'), ('+342', '1')], [('-347', '1'), ('+358', '1')], [('-368', '1'), ('+379', '1')], [('-404', '1'), ('+415', '1')], [('-418', '1'), ('+429', '1')], [('-432', '1'), ('+443', '1')], [('-446', '1'), ('+457', '1')], [('-462', '1'), ('+473', '1')], [('-476', '1'), ('+487', '1')], [('-491', '1'), ('+502', '1')], [('-506', '1'), ('+517', '1')], [('-521', '1'), ('+532', '1')], [('-536', '1'), ('+547', '1')], [('-551', '1'), ('+562', '1')], [('-568', '1'), ('+579', '1')], [('-623', '1'), ('+634', '1')]]","{'2a6248c6d', 'bfe0657b1', '3570fc780'}"
b5f2f283,contracts/lendingpool/LendingPoolStorage.sol,"[[('-18', '2'), ('+17', '0')]]",{'77c812b97'}
b5f2f283,contracts/libraries/helpers/Errors.sol,"[[('-21', '1'), ('+21', '2')], [('-50', '1'), ('+51', '1')], [('-63', '0'), ('+65', '1')], [('-82', '1'), ('+83', '0')]]","{'57ffc9c61', '3570fc780', '54bae079c'}"
b5f2f283,contracts/libraries/logic/ReserveLogic.sol,"[[('-122', '22'), ('+121', '0')]]","{'57ffc9c61', '75579e5d2', 'd135c25b3', '9d757aaa3', '35bff4bea'}"
b5f2f283,contracts/tokenization/DelegationAwareAToken.sol,"[[('-28', '1'), ('+28', '1')], [('-30', '2'), ('+30', '2')], [('-69', '1'), ('+69', '1')]]",{'3570fc780'}
b5f2f283,contracts/tokenization/StableDebtToken.sol,"[[('-19', '3'), ('+19', '4')], [('-97', '0'), ('+99', '1')], [('-102', '0'), ('+105', '4')], [('-104', '5'), ('+110', '1')], [('-118', '1'), ('+120', '1')], [('-124', '1'), ('+126', '1')], [('-128', '1'), ('+130', '1')], [('-137', '1'), ('+139', '1')], [('-140', '1'), ('+142', '1')], [('-143', '0'), ('+146', '1')], [('-161', '5'), ('+164', '1')]]","{'819cc65ab', 'afc9612ac', 'bfe0657b1', '3c3a01b80', '5061aab9c', '5b7a2f2a5', '94d8f3859'}"
