fix_commit,fname,changed_lines,bug_commits
26652d1,contracts/CToken.sol,"[[('-52', '0'), ('+53', '3')], [('-1505', '1'), ('+1508', '1')], [('-1525', '1'), ('+1528', '2')], [('-1528', '2'), ('+1532', '3')], [('-1532', '2'), ('+1537', '2')], [('-1536', '1'), ('+1541', '1')], [('-1562', '1'), ('+1567', '1')], [('-1564', '1'), ('+1569', '1')], [('-1569', '3'), ('+1574', '3')], [('-1573', '1'), ('+1578', '1')], [('-1580', '0'), ('+1586', '8')]]","{'1a8fec39', 'dec71756'}"
26652d1,tests/Contracts/CEtherHarness.sol,"[[('-8', '0'), ('+9', '1')], [('-50', '2'), ('+51', '2')], [('-54', '2'), ('+55', '6')]]",{'^f754de9'}
26652d1,tests/Tokens/cTokenTest.js,"[[('-69', '2'), ('+69', '6')], [('-73', '0'), ('+78', '20')]]","{'bcf0bc7b', '^f754de9'}"
f6d717b,contracts/Comptroller.sol,"[[('-1214', '2'), ('+1214', '3')], [('-1246', '0'), ('+1248', '7')]]",{'94476c4b'}
63eb1cc,contracts/Comptroller.sol,"[[('-1318', '2'), ('+1318', '12')]]","{'6c66d60f', 'ddde3ec0'}"
cf90f78,contracts/Comptroller.sol,"[[('-1068', '1'), ('+1068', '2')], [('-1303', '3'), ('+1304', '4')], [('-1307', '1'), ('+1309', '1')]]","{'d15d685c', '4e99ea3a'}"
1d85a34,contracts/Comptroller.sol,"[[('-1082', '1'), ('+1082', '1')], [('-1085', '1'), ('+1085', '1')], [('-1369', '1'), ('+1369', '1')], [('-1370', '0'), ('+1371', '1')]]","{'d15d685c', '20a218f5'}"
28f3281,scenario/yarn.lock,"[[('-4917', '1'), ('+4917', '1')]]",{'6858417c'}
28f3281,yarn.lock,"[[('-4462', '1'), ('+4462', '1')]]",{'6858417c'}
20abad2,contracts/CErc20.sol,"[[('-202', '1'), ('+202', '1')]]",{'^f754de9'}
59347fb,package.json,"[[('-28', '1'), ('+28', '1')]]",{'82ecedb9'}
59347fb,scenario/package.json,"[[('-24', '1'), ('+24', '1')]]",{'82ecedb9'}
59347fb,scenario/yarn.lock,"[[('-4386', '4'), ('+4386', '4')]]",{'82ecedb9'}
59347fb,yarn.lock,"[[('-3828', '4'), ('+3828', '4')]]",{'82ecedb9'}
f89962c,contracts/CToken.sol,"[[('-41', '1'), ('+41', '1')], [('-218', '1'), ('+217', '0')]]",{'f244c227'}
f89962c,contracts/Comptroller.sol,"[[('-61', '5'), ('+60', '0')], [('-130', '1'), ('+125', '1')], [('-142', '1'), ('+137', '1')], [('-147', '1'), ('+142', '1')], [('-152', '1'), ('+147', '1')], [('-157', '1'), ('+152', '1')], [('-170', '1'), ('+165', '1')], [('-348', '0'), ('+344', '3')], [('-350', '2'), ('+348', '3')], [('-354', '4'), ('+353', '2')], [('-460', '3'), ('+456', '0')], [('-536', '0'), ('+531', '3')], [('-979', '20'), ('+976', '8')], [('-1001', '1'), ('+986', '1')], [('-1003', '4'), ('+987', '0')], [('-1008', '2'), ('+989', '2')], [('-1010', '0'), ('+992', '1')], [('-1012', '1'), ('+993', '0')], [('-1018', '1'), ('+999', '3')], [('-1025', '1'), ('+1008', '3')], [('-1032', '1'), ('+1017', '3')], [('-1038', '4'), ('+1025', '6')], [('-1046', '0'), ('+1036', '1')]]","{'f244c227', '^f754de9'}"
f89962c,contracts/ComptrollerStorage.sol,"[[('-82', '0'), ('+83', '4')], [('-84', '1'), ('+87', '0')], [('-88', '1'), ('+91', '1')]]",{'f244c227'}
f89962c,contracts/ErrorReporter.sol,"[[('-13', '1'), ('+13', '1')], [('-45', '2'), ('+45', '1')]]","{'f244c227', '^f754de9'}"
f89962c,contracts/Timelock.sol,"[[('-8', '0'), ('+9', '1')], [('-15', '0'), ('+17', '1')], [('-17', '0'), ('+20', '1')], [('-24', '0'), ('+28', '1')], [('-34', '0'), ('+39', '1')], [('-40', '3'), ('+45', '4')], [('-46', '0'), ('+53', '7')]]",{'f244c227'}
