fix_commit,fname,changed_lines,bug_commits
47ff6b6,hardhat.config.js,"[[('-1', '1'), ('+1', '1')]]",{'1615879c'}
47ff6b6,networks.json,"[[('-16', '2'), ('+16', '1')]]","{'bd907d9e', '33c25365'}"
bc18c2f,hardhat.config.js,"[[('-1', '1'), ('+0', '0')]]",{'d6caa948'}
1615879,hardhat.config.js,"[[('-1', '1'), ('+1', '1')]]",{'56d377fe'}
1615879,package-lock.json,"[[('-1', '33341'), ('+0', '0')]]","{'f34cb4a4', 'c1521c5b', 'bd907d9e', 'cc9e1980'}"
1615879,package.json,"[[('-7', '1'), ('+7', '5')], [('-23', '0'), ('+28', '5')], [('-26', '1'), ('+35', '2')]]",{'cc9e1980'}
1615879,scripts/1_deployHarvester.js,"[[('-1', '1'), ('+1', '1')]]",{'56d377fe'}
1615879,scripts/1_deployLpHarvester.js,"[[('-1', '1'), ('+1', '2')]]",{'33c25365'}
1615879,scripts/2_deployEthVault.js,"[[('-1', '1'), ('+1', '2')]]",{'17be2b07'}
1615879,scripts/2_deployVault.js,"[[('-1', '1'), ('+1', '2')]]",{'56d377fe'}
1615879,scripts/3_deployCTokenStrat.js,"[[('-1', '1'), ('+1', '2')]]",{'56d377fe'}
1615879,scripts/3_deployYTokenStrat.js,"[[('-1', '1'), ('+1', '2')]]",{'93ffaded'}
1615879,scripts/4_setStrat.js,"[[('-1', '1'), ('+1', '2')]]",{'56d377fe'}
1615879,scripts/4_timelockedSetStrat.js,"[[('-1', '1'), ('+1', '2')]]",{'33141d3d'}
1615879,scripts/5_executeSetStrat.js,"[[('-1', '1'), ('+1', '2')]]",{'33141d3d'}
1615879,scripts/6_deployToken.js,"[[('-1', '1'), ('+1', '2')]]",{'f34cb4a4'}
1615879,test/prod.js,"[[('-1', '0'), ('+2', '4')], [('-3', '1'), ('+7', '5')]]",{'6b125542'}
1615879,test/yearnV2-strat-migration.js,"[[('-1', '2'), ('+1', '4')]]",{'7d06fe68'}
