fix_commit,fname,changed_lines,bug_commits
48d3a211,packages/serverless-orchestration/test/ServerlessHub.js,"[[('-1', '1'), ('+1', '1')]]",{'74deff60c'}
48d3a211,packages/serverless-orchestration/test/ServerlessSpoke.js,"[[('-1', '1'), ('+1', '1')]]",{'cdc1fad67'}
d58eedc5,packages/core/scripts/local/DeployEMP.js,"[[('-22', '1'), ('+22', '1')]]",{'cbc92c8c3'}
908aabdc,packages/core/networks/42.json,"[[('-84', '1'), ('+84', '1')]]",{'804925b90'}
908aabdc,packages/core/networks/80001.json,"[[('-52', '1'), ('+52', '1')]]",{'804925b90'}
28367635,packages/serverless-orchestration/package.json,"[[('-7', '1'), ('+7', '1')], [('-15', '1'), ('+15', '1')]]","{'28a1ffa55', '67ccf754b'}"
41225bba,packages/common/package.json,"[[('-40', '1'), ('+40', '1')]]",{'65fe5ea10'}
41225bba,packages/core/package.json,"[[('-38', '1'), ('+38', '1')]]",{'72384c366'}
749c7930,packages/financial-templates-lib/package.json,"[[('-47', '1'), ('+47', '1')]]",{'9fcc5128f'}
ccfbf07f,packages/api/package.json,"[[('-29', '1'), ('+29', '2')]]",{'54fbb4967'}
6470d4d3,packages/sdk/package.json,"[[('-27', '1'), ('+27', '1')], [('-33', '6'), ('+33', '2')]]",{'29f46dd61'}
18309936,ci/deploy_to_staging.sh,"[[('-1', '52'), ('+0', '0')]]","{'96650d359', '52ceef878', 'a87552319', '04ef0ad50', '25aedc8f4', 'd9c0c0580', '63fdf87fe'}"
02717a89,packages/liquidator/src/OneInchExchange.js,"[[('-1', '4'), ('+0', '0')]]","{'acf99518e', '3dbd730d7'}"
fd800620,documentation/community/previous_and_upcoming_events.md,"[[('-4', '1'), ('+3', '0')], [('-7', '0'), ('+7', '2')]]",{'a03f596e0'}
c00044be,packages/core/package.json,"[[('-48', '1'), ('+48', '3')]]",{'0c6fdc2bb'}
c00044be,packages/voter-dapp/package.json,"[[('-35', '1'), ('+35', '2')]]",{'1dc103abb'}
c00044be,scripts/buildContracts.sh,"[[('-1', '8'), ('+0', '0')]]","{'e826b611d', '8aae10fee'}"
c485a618,packages/core/tsconfig.json,"[[('-4', '1'), ('+4', '1')]]",{'3ba662f99'}
c0b5f583,packages/common/package.json,"[[('-22', '1'), ('+22', '1')]]",{'9fcc5128f'}
