fix_commit,fname,changed_lines,bug_commits
b0bae746,contracts/fuzz/Cauldron.sol,"[[('-1', '996'), ('+0', '0')]]",{'fcff74d63'}
b0bae746,contracts/fuzz/FYToken.sol,"[[('-1', '1028'), ('+0', '0')]]",{'fcff74d63'}
b0bae746,contracts/fuzz/Join.sol,"[[('-1', '647'), ('+0', '0')]]",{'fcff74d63'}
b0bae746,contracts/fuzz/Ladle.sol,"[[('-1', '1353'), ('+0', '0')]]",{'fcff74d63'}
b0bae746,contracts/fuzz/README.md,"[[('-1', '9'), ('+0', '0')]]",{'fcff74d63'}
b0bae746,contracts/fuzz/Witch.sol,"[[('-1', '418'), ('+0', '0')]]",{'fcff74d63'}
9074a944,scripts/pool_liquidity.js,"[[('-1', '1'), ('+1', '1')]]",{'6554b9110'}
c30d7a17,package.json,"[[('-36', '1'), ('+36', '1')]]",{'f52e52b07'}
c30d7a17,yarn.lock,"[[('-2283', '4'), ('+2283', '4')]]",{'f52e52b07'}
1392a6f9,contracts/mocks/YieldMath48.sol,"[[('-0', '0'), ('+1', '1')], [('-6', '1'), ('+7', '1')]]",{'854a8f47e'}
1392a6f9,contracts/mocks/YieldMath64.sol,"[[('-0', '0'), ('+1', '1')], [('-6', '1'), ('+7', '1')]]",{'854a8f47e'}
368f01ed,yarn.lock,"[[('-2283', '4'), ('+2283', '4')]]",{'f52e52b07'}
1505b739,.dockerignore,"[[('-1', '18'), ('+0', '0')]]","{'ff5ec7e47', '33bbe3ab2'}"
49d9a356,test/111_treasury_lending.ts,"[[('-2', '1'), ('+2', '1')]]",{'aba4c7c4c'}
87f3427b,test/shared/fixtures.ts,"[[('-1', '1'), ('+0', '0')]]",{'319c87ddd'}
29187948,package.json,"[[('-32', '1'), ('+32', '1')]]",{'0d5d38be5'}
29187948,yarn.lock,"[[('-2300', '4'), ('+2300', '4')]]",{'0d5d38be5'}
0d37fb58,package.json,"[[('-30', '1'), ('+30', '1')]]",{'85d7f400a'}
0d37fb58,yarn.lock,"[[('-2246', '4'), ('+2246', '4')]]",{'85d7f400a'}
dfba1c6c,package.json,"[[('-32', '1'), ('+31', '0')]]",{'9dbb78ca4'}
dfba1c6c,yarn.lock,"[[('-1626', '5'), ('+1625', '0')], [('-2292', '36'), ('+2286', '0')]]",{'9dbb78ca4'}
1c895540,test/peripheral/562_dsproxy_limitPool.ts,"[[('-1', '164'), ('+0', '0')]]","{'d15b6c1f6', 'ec2fc558c', 'a555d6400'}"
fd22d000,package.json,"[[('-35', '1'), ('+35', '1')]]",{'77eb3b840'}
f1edec90,package.json,"[[('-3', '1'), ('+3', '1')]]",{'3a4023111'}
ccf27069,test/070_ladle_router.ts,"[[('-1', '124'), ('+0', '0')]]","{'915950e06', '9c56819ad', 'ed1a0ab6d', '6f641b8ac', '511a0d0ae', '1014af45a'}"
c3db231b,package.json,"[[('-14', '1'), ('+14', '2')]]",{'f2abce3d4'}
c3db231b,tsconfig.json,"[[('-14', '1'), ('+14', '1')]]",{'a891e766c'}
cc2178ab,test/111_treasury_lending.ts,"[[('-2', '1'), ('+2', '1')]]",{'49d9a356f'}
978cd070,contracts/mocks/YieldMath64.sol,"[[('-1', '481'), ('+0', '0')]]","{'854a8f47e', 'b9eb482ca', '25eb8d21e', '1392a6f93'}"
c293a86f,test/market/202_market.js,"[[('-1', '21'), ('+0', '0')]]","{'2b2e0f911', '179992f60'}"
c293a86f,test/market/203_limitMarket.js,"[[('-1', '23'), ('+0', '0')]]","{'afaad0dfe', '179992f60'}"
c293a86f,test/market/204_market_delegation.js,"[[('-1', '21'), ('+0', '0')]]","{'ffe4440f4', '179992f60'}"
a891e766,tsconfig.json,"[[('-13', '1'), ('+13', '2')]]",{'162c6f31b'}
4ce69fc4,test/021_join.ts,"[[('-1', '1'), ('+0', '0')]]",{'54fcea04f'}
4ce69fc4,test/060_ladle_admin.ts,"[[('-1', '1'), ('+1', '5')]]",{'6523353e0'}
4ce69fc4,test/shared/fixtures.ts,"[[('-1', '1'), ('+1', '5')]]",{'2094978b7'}
8cbf8dff,test/peripheral/511_splitter.ts,"[[('-1', '191'), ('+0', '0')]]","{'c7a35e679', '588ba3556', 'd8c539b6b', '84dff2b3c', 'de2e62857', '25815bf27', 'f85483e82', 'a77c41f2a', 'b6fcbd9a9', '70e12a0bc', '6170d9ee1', '44ab8226a', 'beddb527f', '42c180244', '6b95285a3'}"
d95201b7,truffle-config.js,"[[('-21', '1'), ('+21', '1')]]",{'^fc358508'}
7916d009,package.json,"[[('-23', '0'), ('+24', '1')], [('-35', '2'), ('+36', '1')]]",{'0b26d0bd0'}
2f81c284,package.json,"[[('-3', '1'), ('+3', '1')]]",{'4f771ff91'}
b9eb482c,test/echidna/601_liquidity_invariant.ts,"[[('-1', '1'), ('+1', '1')]]",{'349336191'}
e0988ab2,package.json,"[[('-3', '1'), ('+3', '1')], [('-8', '0'), ('+9', '1')]]",{'59346223e'}
cade0c78,contracts/Cauldron.sol,"[[('-2', '1'), ('+2', '1')]]",{'49d664d7c'}
cade0c78,contracts/FYToken.sol,"[[('-2', '1'), ('+2', '1')]]",{'a089c806b'}
cade0c78,contracts/Join.sol,"[[('-2', '1'), ('+2', '1')]]",{'80a42e83e'}
cade0c78,contracts/JoinFactory.sol,"[[('-2', '1'), ('+2', '1')]]",{'59c17e420'}
cade0c78,contracts/Ladle.sol,"[[('-2', '1'), ('+2', '1')]]",{'3b199971a'}
cade0c78,contracts/LadleStorage.sol,"[[('-2', '1'), ('+2', '1')]]",{'8951ad96c'}
cade0c78,contracts/Wand.sol,"[[('-2', '1'), ('+2', '1')]]",{'a75532eb0'}
cade0c78,contracts/Witch.sol,"[[('-2', '1'), ('+2', '1')]]",{'80a42e83e'}
cade0c78,contracts/constants/Constants.sol,"[[('-2', '1'), ('+2', '1')]]",{'59ca6bec4'}
cade0c78,contracts/math/CastBytes32Bytes6.sol,"[[('-2', '1'), ('+2', '1')]]",{'dbe91a9e8'}
cade0c78,contracts/math/CastI128U128.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/CastU128I128.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/CastU256I256.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/CastU256U128.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/CastU256U32.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/WDiv.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/WDivUp.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/WMul.sol,"[[('-2', '1'), ('+2', '1')]]",{'60a2a2785'}
cade0c78,contracts/math/WMulUp.sol,"[[('-2', '1'), ('+2', '1')]]",{'8a657f28e'}
cade0c78,contracts/mocks/DAIMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'81b23d4d3'}
cade0c78,contracts/mocks/ERC20Mock.sol,"[[('-2', '1'), ('+2', '1')]]",{'a089c806b'}
cade0c78,contracts/mocks/FlashBorrower.sol,"[[('-2', '1'), ('+2', '1')]]",{'7076057d3'}
cade0c78,contracts/mocks/PoolFactoryMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'4c5710cd4'}
cade0c78,contracts/mocks/PoolMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'9bfbe0f35'}
cade0c78,contracts/mocks/PoolRouterMock.sol,"[[('-3', '1'), ('+3', '1')]]",{'7bc2e165b'}
cade0c78,contracts/mocks/RestrictedERC20Mock.sol,"[[('-2', '1'), ('+2', '1')]]",{'9c23fbbe2'}
cade0c78,contracts/mocks/TLMMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'3c032c93f'}
cade0c78,contracts/mocks/USDCMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'efb04129c'}
cade0c78,contracts/mocks/oracles/ISourceMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'86fd17bd1'}
cade0c78,contracts/mocks/oracles/OracleMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'92a7ba628'}
cade0c78,contracts/mocks/oracles/chainlink/ChainlinkAggregatorV3Mock.sol,"[[('-2', '1'), ('+2', '1')]]",{'f95a1e287'}
cade0c78,contracts/mocks/oracles/compound/CTokenChiMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'455ac0506'}
cade0c78,contracts/mocks/oracles/compound/CTokenRateMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'455ac0506'}
cade0c78,contracts/mocks/oracles/uniswap/UniswapV2PairMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'f95a1e287'}
cade0c78,contracts/mocks/oracles/uniswap/UniswapV3FactoryMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'420d4cc1f'}
cade0c78,contracts/mocks/oracles/uniswap/UniswapV3OracleLibraryMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'e807083ec'}
cade0c78,contracts/mocks/oracles/uniswap/UniswapV3PoolMock.sol,"[[('-2', '1'), ('+2', '1')]]",{'867d736af'}
cade0c78,contracts/modules/MakerImportModule.sol,"[[('-2', '1'), ('+2', '1')]]",{'8a657f28e'}
cade0c78,contracts/modules/TLMModule.sol,"[[('-2', '1'), ('+2', '1')]]",{'81f45dd2e'}
cade0c78,contracts/oracles/chainlink/ChainlinkMultiOracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'11625105e'}
cade0c78,contracts/oracles/chainlink/ChainlinkOracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'ff3a0bab5'}
cade0c78,contracts/oracles/compound/CompoundChiOracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'455ac0506'}
cade0c78,contracts/oracles/compound/CompoundMultiOracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'11625105e'}
cade0c78,contracts/oracles/compound/CompoundRateOracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'455ac0506'}
cade0c78,contracts/oracles/uniswap/UniswapV3Oracle.sol,"[[('-2', '1'), ('+2', '1')]]",{'9dbb78ca4'}
7120134b,buidler.config.js,"[[('-1', '1'), ('+1', '5')]]",{'b5be2e8f2'}
7120134b,contracts/Migrations.sol,"[[('-1', '1'), ('+1', '1')]]",{'^fc358508'}
7120134b,contracts/Treasury.sol,"[[('-1', '1'), ('+1', '1')]]",{'e97a4d1cf'}
7120134b,contracts/YDai.sol,"[[('-1', '1'), ('+1', '1')]]",{'e97a4d1cf'}
90134b13,yarn.lock,"[[('-2572', '4'), ('+2572', '4')]]",{'831f89d5d'}
cdb57e2d,src/ladleWrapper.ts,"[[('-1', '1'), ('+0', '0')]]",{'3a14d49a0'}
d7c0c32b,package.json,"[[('-3', '1'), ('+3', '1')]]",{'fd8a1f9e9'}
548e74e5,package.json,"[[('-3', '1'), ('+3', '1')]]",{'d7c0c32bb'}
77eb3b84,package.json,"[[('-35', '1'), ('+35', '1')]]",{'48054ed65'}
75e9fa07,migrations/3_deploy_common.js,"[[('-1', '2'), ('+1', '1')]]",{'bec2a5ad3'}
75e9fa07,migrations/4_deploy_yDai.js,"[[('-1', '2'), ('+1', '1')]]",{'bec2a5ad3'}
75e9fa07,scripts/setup_market_dev.js,"[[('-1', '1'), ('+1', '1')]]",{'bec2a5ad3'}
75e9fa07,test/112_treasury_saving.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/121_ydai.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/122_ydai_delegation.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/132_controller_weth.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/133_controller_chai.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/151_unwind_treasury.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/152_unwind_controller.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/153_unwind_liquidations.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/helpers/001_orchestrated.ts,"[[('-1', '2'), ('+1', '1')]]",{'92a70213a'}
75e9fa07,test/shared/fixtures.ts,"[[('-1', '1'), ('+1', '1')]]",{'92a70213a'}
02a813bf,contracts/mocks/YieldMath48.sol,"[[('-4', '2'), ('+3', '0')]]",{'b9eb482ca'}
60a0d0b5,scripts/setup_market_dev.js,"[[('-1', '1'), ('+1', '1')]]",{'189034ada'}
d2fbd499,test/peripheral/511_splitter.js,"[[('-1', '20'), ('+0', '0')]]",{'70e12a0bc'}
cc3d578e,migrations/2_deploy.js,"[[('-1', '279'), ('+0', '0')]]","{'5b2c540a1', 'f5c78c2d1', 'de09774f9', '^fc358508', '85e71eb42', 'd3bf6b243', '376864c13', '86f6e7c86'}"
cc3d578e,migrations/3_deploy_Oracle.js,"[[('-1', '5'), ('+0', '0')]]","{'f5c78c2d1', '3ba88cdd6'}"
