fix_commit,fname,changed_lines,bug_commits
83c1a8d,deploy-configs/config.json,"[[('-3', '1'), ('+3', '1')]]",{'b153daa7'}
83c1a8d,deployments/rinkeby/DInterestLens.json,"[[('-2', '1'), ('+2', '1')], [('-3', '0'), ('+4', '27')], [('-51', '0'), ('+79', '29')], [('-135', '1'), ('+191', '1')], [('-138', '4'), ('+194', '4')], [('-143', '2'), ('+199', '2')], [('-146', '2'), ('+202', '2')], [('-152', '4'), ('+208', '4')], [('-176', '0'), ('+233', '9')], [('-217', '0'), ('+283', '12')], [('-225', '0'), ('+303', '3')], [('-242', '1'), ('+322', '1')]]",{'423e3501'}
83c1a8d,deployments/rinkeby/Dumper.json,"[[('-2', '1'), ('+2', '1')], [('-456', '1'), ('+456', '1')], [('-459', '7'), ('+459', '7')], [('-468', '4'), ('+468', '4')], [('-475', '2'), ('+475', '2')], [('-479', '2'), ('+479', '2')], [('-483', '2'), ('+483', '2')], [('-492', '4'), ('+492', '4')], [('-536', '1'), ('+536', '1')], [('-541', '1'), ('+541', '1')], [('-544', '1'), ('+544', '1')], [('-549', '1'), ('+549', '1')], [('-552', '1'), ('+552', '1')], [('-581', '1'), ('+581', '1')], [('-586', '1'), ('+586', '1')], [('-630', '1'), ('+630', '1')]]","{'b153daa7', '423e3501'}"
83c1a8d,deployments/rinkeby/EMAOracleTemplate.json,"[[('-2', '1'), ('+2', '1')], [('-3', '0'), ('+4', '38')], [('-160', '1'), ('+198', '1')], [('-163', '4'), ('+201', '4')], [('-168', '2'), ('+206', '2')], [('-171', '2'), ('+209', '2')], [('-177', '4'), ('+215', '4')], [('-186', '0'), ('+225', '17')], [('-220', '1'), ('+275', '1')], [('-228', '1'), ('+283', '1')], [('-236', '1'), ('+291', '1')], [('-244', '1'), ('+299', '1')], [('-252', '1'), ('+307', '1')], [('-260', '1'), ('+315', '1')], [('-268', '1'), ('+323', '1')], [('-273', '1'), ('+328', '1')], [('-276', '1'), ('+331', '1')], [('-296', '1'), ('+351', '1')], [('-308', '1'), ('+363', '1')]]","{'b153daa7', '423e3501'}"
83c1a8d,deployments/rinkeby/ERC20WrapperTemplate.json,"[[('-2', '1'), ('+2', '1')], [('-357', '1'), ('+357', '1')], [('-360', '4'), ('+360', '4')], [('-365', '2'), ('+365', '2')], [('-368', '2'), ('+368', '2')], [('-374', '4'), ('+374', '4')], [('-436', '1'), ('+436', '1')], [('-444', '1'), ('+444', '1')], [('-449', '1'), ('+449', '1')], [('-452', '1'), ('+452', '1')], [('-460', '1'), ('+460', '1')], [('-468', '1'), ('+468', '1')], [('-476', '1'), ('+476', '1')], [('-484', '1'), ('+484', '1')], [('-509', '1'), ('+509', '1')], [('-545', '1'), ('+545', '1')]]","{'b153daa7', '423e3501'}"
83c1a8d,deployments/rinkeby/Factory.json,"[[('-2', '1'), ('+2', '1')], [('-248', '10'), ('+247', '0')], [('-329', '10'), ('+318', '0')], [('-569', '1'), ('+549', '1')], [('-695', '1'), ('+675', '1')], [('-699', '3'), ('+679', '3')], [('-703', '2'), ('+683', '2')], [('-706', '2'), ('+686', '2')], [('-712', '4'), ('+692', '4')], [('-730', '1'), ('+710', '1')]]","{'b153daa7', '423e3501', '27bb5990'}"
83c1a8d,deployments/rinkeby/LinearDecayInterestModel.json,"[[('-2', '1'), ('+2', '1')], [('-19', '0'), ('+20', '22')], [('-118', '1'), ('+140', '1')], [('-121', '4'), ('+143', '4')], [('-126', '2'), ('+148', '2')], [('-129', '2'), ('+151', '2')], [('-134', '5'), ('+156', '8')], [('-144', '0'), ('+170', '12')], [('-152', '1'), ('+189', '1')], [('-160', '1'), ('+197', '1')], [('-176', '1'), ('+213', '1')]]","{'b153daa7', '423e3501'}"
83c1a8d,deployments/rinkeby/MPHMinter.json,"[[('-81', '0'), ('+82', '11')], [('-275', '0'), ('+287', '13')], [('-488', '0'), ('+513', '49')], [('-819', '4'), ('+892', '4')], [('-1646', '1'), ('+1719', '863')], [('-1685', '1'), ('+2620', '1')], [('-1722', '1'), ('+2657', '1')]]","{'b153daa7', '27bb5990'}"
83c1a8d,deployments/rinkeby/MPHMinterLegacy.json,"[[('-2', '1'), ('+2', '1')], [('-3', '0'), ('+4', '11')], [('-42', '1'), ('+53', '1')], [('-47', '1'), ('+58', '1')], [('-52', '1'), ('+63', '1')], [('-57', '1'), ('+68', '1')], [('-62', '1'), ('+73', '1')], [('-67', '1'), ('+78', '1')], [('-79', '1'), ('+90', '14')], [('-112', '1'), ('+136', '1')], [('-115', '4'), ('+139', '4')], [('-120', '2'), ('+144', '2')], [('-123', '2'), ('+147', '2')], [('-128', '5'), ('+152', '7')], [('-145', '2'), ('+171', '17')], [('-148', '1'), ('+189', '1')]]",{'423e3501'}
83c1a8d,deployments/rinkeby/MPHMinter_Implementation.json,"[[('-2', '1'), ('+2', '1')], [('-3', '0'), ('+4', '11')], [('-197', '0'), ('+209', '13')], [('-410', '0'), ('+435', '49')], [('-699', '1'), ('+772', '1')], [('-703', '3'), ('+776', '3')], [('-707', '2'), ('+780', '2')], [('-710', '2'), ('+783', '2')], [('-716', '4'), ('+789', '4')], [('-731', '0'), ('+805', '3')], [('-744', '0'), ('+821', '7')], [('-819', '1'), ('+902', '1')], [('-827', '1'), ('+910', '1')], [('-835', '1'), ('+918', '1')], [('-843', '1'), ('+926', '1')], [('-851', '1'), ('+934', '1')], [('-856', '1'), ('+939', '1')], [('-859', '1'), ('+942', '1')], [('-867', '1'), ('+950', '1')], [('-875', '1'), ('+958', '1')], [('-880', '1'), ('+963', '1')], [('-883', '1'), ('+966', '1')], [('-925', '1'), ('+1008', '1')], [('-930', '1'), ('+1013', '1')], [('-986', '1'), ('+1069', '1')]]","{'b153daa7', '423e3501', '27bb5990'}"
