fix_commit,fname,changed_lines,bug_commits
ce9af46,docs/contracts.md,"[[('-9', '1'), ('+9', '1')]]",{'8f3c3917'}
ce9af46,package-lock.json,"[[('-3', '1'), ('+3', '1')]]",{'ea05d41f'}
ce9af46,package.json,"[[('-3', '1'), ('+3', '1')]]",{'ea05d41f'}
d59e438,package-lock.json,"[[('-3', '1'), ('+3', '1')], [('-603', '1'), ('+602', '0')], [('-618', '1'), ('+616', '0')], [('-641', '2'), ('+639', '1')], [('-669', '1'), ('+665', '0')], [('-686', '2'), ('+682', '1')], [('-717', '1'), ('+711', '0')], [('-725', '2'), ('+719', '1')], [('-732', '1'), ('+724', '0')], [('-740', '2'), ('+732', '1')], [('-755', '2'), ('+746', '1')], [('-773', '1'), ('+762', '0')], [('-782', '2'), ('+771', '1')], [('-791', '1'), ('+778', '0')], [('-799', '2'), ('+786', '1')], [('-807', '2'), ('+793', '1')], [('-814', '1'), ('+798', '0')], [('-824', '2'), ('+808', '1')], [('-873', '2'), ('+856', '1')], [('-895', '1'), ('+876', '0')], [('-906', '2'), ('+887', '1')], [('-918', '1'), ('+897', '0')], [('-931', '2'), ('+910', '1')], [('-1304', '1'), ('+1281', '0')], [('-1320', '2'), ('+1297', '1')], [('-1327', '1'), ('+1302', '0')], [('-1342', '1'), ('+1316', '0')], [('-1351', '1'), ('+1324', '0')], [('-1360', '1'), ('+1332', '0')], [('-1369', '1'), ('+1340', '0')], [('-1379', '2'), ('+1350', '1')], [('-1385', '2'), ('+1355', '1')], [('-1411', '2'), ('+1380', '1')], [('-1478', '1'), ('+1445', '0')], [('-1636', '2'), ('+1603', '1')], [('-1647', '2'), ('+1613', '1')], [('-1663', '2'), ('+1628', '1')], [('-1675', '1'), ('+1638', '0')], [('-1691', '2'), ('+1654', '1')], [('-1863', '1'), ('+1824', '0')], [('-1875', '1'), ('+1835', '0')], [('-1883', '2'), ('+1843', '1')], [('-1935', '2'), ('+1894', '1')], [('-1941', '2'), ('+1899', '1')], [('-1955', '2'), ('+1912', '1')], [('-1962', '1'), ('+1917', '0')], [('-1978', '2'), ('+1933', '1')], [('-1985', '1'), ('+1938', '0')], [('-1996', '1'), ('+1948', '0')], [('-2007', '1'), ('+1958', '0')], [('-2031', '2'), ('+1982', '1')], [('-2076', '2'), ('+2026', '1')], [('-2082', '2'), ('+2031', '1')], [('-2089', '1'), ('+2036', '0')], [('-2172', '1'), ('+2118', '0')], [('-2195', '2'), ('+2141', '1')], [('-2202', '1'), ('+2146', '0')], [('-2420', '2'), ('+2364', '1')], [('-2542', '1'), ('+2484', '0')], [('-2550', '2'), ('+2492', '1')], [('-2575', '2'), ('+2516', '1')], [('-2587', '1'), ('+2526', '0')], [('-2596', '1'), ('+2534', '0')], [('-2606', '1'), ('+2543', '0')], [('-2615', '1'), ('+2551', '0')], [('-2624', '1'), ('+2559', '0')], [('-2634', '2'), ('+2569', '1')], [('-2640', '2'), ('+2574', '1')], [('-2679', '2'), ('+2612', '1')], [('-2975', '1'), ('+2906', '0')], [('-2987', '1'), ('+2917', '0')], [('-3059', '1'), ('+2988', '0')], [('-3127', '1'), ('+3055', '0')], [('-4111', '1'), ('+4038', '0')], [('-4182', '1'), ('+4108', '0')], [('-4192', '1'), ('+4117', '0')], [('-4239', '1'), ('+4163', '0')], [('-4399', '1'), ('+4322', '0')], [('-4410', '2'), ('+4333', '1')], [('-4416', '2'), ('+4338', '1')], [('-4423', '1'), ('+4343', '0')], [('-4441', '1'), ('+4360', '0')], [('-4452', '1'), ('+4370', '0')], [('-4467', '1'), ('+4384', '0')], [('-4476', '1'), ('+4392', '0')], [('-4485', '1'), ('+4400', '0')], [('-4494', '1'), ('+4408', '0')], [('-4505', '1'), ('+4418', '0')], [('-4514', '1'), ('+4426', '0')], [('-4525', '1'), ('+4436', '0')], [('-4535', '2'), ('+4446', '1')], [('-4544', '1'), ('+4453', '0')], [('-4560', '1'), ('+4468', '0')], [('-4569', '1'), ('+4476', '0')], [('-4580', '1'), ('+4486', '0')], [('-4592', '1'), ('+4497', '0')], [('-4603', '1'), ('+4507', '0')], [('-4612', '1'), ('+4515', '0')], [('-4621', '1'), ('+4523', '0')], [('-4631', '2'), ('+4533', '1')], [('-4638', '1'), ('+4538', '0')], [('-4647', '1'), ('+4546', '0')], [('-4656', '1'), ('+4554', '0')], [('-4666', '2'), ('+4564', '1')], [('-4672', '2'), ('+4569', '1')], [('-4679', '1'), ('+4574', '0')], [('-4702', '1'), ('+4596', '0')], [('-4714', '2'), ('+4608', '1')], [('-4738', '1'), ('+4630', '0')], [('-4755', '2'), ('+4647', '1')], [('-4791', '1'), ('+4681', '0')], [('-4828', '1'), ('+4717', '0')], [('-4843', '2'), ('+4732', '1')], [('-5488', '2'), ('+5376', '1')], [('-5879', '2'), ('+5766', '1')], [('-5896', '2'), ('+5782', '1')], [('-5911', '1'), ('+5795', '0')], [('-5944', '1'), ('+5827', '0')], [('-5962', '1'), ('+5844', '0')], [('-5971', '2'), ('+5853', '1')], [('-5978', '1'), ('+5858', '0')], [('-5989', '1'), ('+5868', '0')], [('-6003', '1'), ('+5881', '0')], [('-6012', '2'), ('+5890', '1')], [('-6018', '2'), ('+5895', '1')], [('-6025', '1'), ('+5900', '0')], [('-6043', '1'), ('+5917', '0')], [('-6054', '1'), ('+5927', '0')], [('-6073', '2'), ('+5946', '1')], [('-6082', '1'), ('+5953', '0')], [('-6097', '1'), ('+5967', '0')], [('-6106', '1'), ('+5975', '0')], [('-6115', '1'), ('+5983', '0')], [('-6124', '1'), ('+5991', '0')], [('-6135', '1'), ('+6001', '0')], [('-6144', '1'), ('+6009', '0')], [('-6155', '1'), ('+6019', '0')], [('-6165', '2'), ('+6029', '1')], [('-6174', '1'), ('+6036', '0')], [('-6190', '1'), ('+6051', '0')], [('-6199', '1'), ('+6059', '0')], [('-6210', '1'), ('+6069', '0')], [('-6222', '1'), ('+6080', '0')], [('-6233', '1'), ('+6090', '0')], [('-6243', '1'), ('+6099', '0')], [('-6248', '2'), ('+6104', '1')], [('-6254', '1'), ('+6108', '0')], [('-6260', '1'), ('+6113', '0')], [('-6269', '2'), ('+6122', '1')], [('-6275', '1'), ('+6126', '0')], [('-6284', '1'), ('+6134', '0')], [('-6289', '2'), ('+6139', '1')], [('-6294', '2'), ('+6143', '1')], [('-6299', '2'), ('+6147', '1')], [('-6305', '1'), ('+6151', '0')], [('-6311', '1'), ('+6156', '0')], [('-6320', '1'), ('+6164', '0')], [('-6326', '1'), ('+6169', '0')], [('-6332', '1'), ('+6174', '0')], [('-6338', '1'), ('+6179', '0')], [('-6347', '1'), ('+6187', '0')], [('-6353', '1'), ('+6192', '0')], [('-6369', '1'), ('+6207', '0')], [('-6383', '1'), ('+6220', '0')], [('-6389', '1'), ('+6225', '0')], [('-6398', '1'), ('+6233', '0')], [('-6407', '1'), ('+6241', '0')], [('-6416', '2'), ('+6250', '1')], [('-6422', '1'), ('+6254', '0')], [('-6428', '1'), ('+6259', '0')], [('-6436', '1'), ('+6266', '0')], [('-6442', '1'), ('+6271', '0')], [('-6449', '2'), ('+6278', '1')], [('-6455', '1'), ('+6282', '0')], [('-6464', '1'), ('+6290', '0')], [('-6473', '1'), ('+6298', '0')], [('-6481', '1'), ('+6305', '0')], [('-6487', '1'), ('+6310', '0')], [('-6498', '1'), ('+6320', '0')], [('-6516', '1'), ('+6337', '0')], [('-6526', '1'), ('+6346', '0')], [('-6532', '1'), ('+6351', '0')], [('-6542', '1'), ('+6360', '0')], [('-6553', '2'), ('+6371', '1')], [('-6559', '1'), ('+6375', '0')], [('-6565', '1'), ('+6380', '0')], [('-6573', '1'), ('+6387', '0')], [('-6579', '1'), ('+6392', '0')], [('-6585', '1'), ('+6397', '0')], [('-6595', '1'), ('+6406', '0')], [('-6601', '1'), ('+6411', '0')], [('-6607', '1'), ('+6416', '0')], [('-6619', '1'), ('+6427', '0')], [('-6627', '1'), ('+6434', '0')], [('-6642', '1'), ('+6448', '0')], [('-6650', '2'), ('+6456', '1')], [('-6656', '1'), ('+6460', '0')], [('-6662', '1'), ('+6465', '0')], [('-6668', '1'), ('+6470', '0')], [('-6674', '1'), ('+6475', '0')], [('-6680', '1'), ('+6480', '0')], [('-6686', '1'), ('+6485', '0')], [('-6696', '1'), ('+6494', '0')], [('-6705', '1'), ('+6502', '0')], [('-6713', '1'), ('+6509', '0')], [('-6719', '1'), ('+6514', '0')], [('-6734', '1'), ('+6528', '0')], [('-6740', '1'), ('+6533', '0')], [('-6748', '2'), ('+6541', '1')], [('-6753', '2'), ('+6545', '1')], [('-6762', '1'), ('+6552', '0')], [('-6772', '1'), ('+6561', '0')], [('-6783', '1'), ('+6571', '0')], [('-6792', '1'), ('+6579', '0')], [('-6801', '1'), ('+6587', '0')], [('-6811', '2'), ('+6597', '1')], [('-6818', '1'), ('+6602', '0')], [('-6827', '1'), ('+6610', '0')], [('-6836', '1'), ('+6618', '0')], [('-6846', '2'), ('+6628', '1')], [('-6852', '2'), ('+6633', '1')], [('-6859', '1'), ('+6638', '0')], [('-6880', '1'), ('+6658', '0')], [('-6907', '1'), ('+6684', '0')], [('-6918', '1'), ('+6694', '0')], [('-6937', '1'), ('+6712', '0')], [('-6999', '1'), ('+6773', '0')], [('-7010', '2'), ('+6784', '1')], [('-7016', '2'), ('+6789', '1')], [('-7023', '1'), ('+6794', '0')], [('-7034', '1'), ('+6804', '0')], [('-7060', '1'), ('+6829', '0')], [('-7068', '2'), ('+6837', '1')], [('-7075', '1'), ('+6842', '0')], [('-7084', '1'), ('+6850', '0')], [('-7095', '1'), ('+6860', '0')], [('-7104', '1'), ('+6868', '0')], [('-7112', '2'), ('+6876', '1')], [('-7119', '1'), ('+6881', '0')], [('-7140', '1'), ('+6901', '0')], [('-7151', '1'), ('+6911', '0')], [('-7230', '2'), ('+6990', '1')], [('-7245', '1'), ('+7003', '0')], [('-7255', '2'), ('+7013', '1')], [('-7264', '1'), ('+7020', '0')], [('-7274', '1'), ('+7029', '0')], [('-7283', '1'), ('+7037', '0')], [('-7294', '1'), ('+7047', '0')], [('-7349', '1'), ('+7101', '0')], [('-7357', '2'), ('+7109', '1')], [('-7532', '1'), ('+7282', '0')], [('-7546', '2'), ('+7296', '1')], [('-7596', '2'), ('+7345', '1')], [('-7617', '2'), ('+7365', '1')], [('-7629', '1'), ('+7375', '0')], [('-7639', '1'), ('+7384', '0')], [('-7647', '2'), ('+7392', '1')], [('-7654', '1'), ('+7397', '0')], [('-7662', '2'), ('+7405', '1')], [('-7669', '1'), ('+7410', '0')], [('-7692', '1'), ('+7432', '0')], [('-7707', '1'), ('+7446', '0')], [('-7717', '2'), ('+7456', '1')], [('-7740', '2'), ('+7478', '1')], [('-7807', '2'), ('+7544', '1')], [('-7854', '1'), ('+7589', '0')], [('-7862', '2'), ('+7597', '1')], [('-7904', '1'), ('+7637', '0')], [('-7937', '1'), ('+7669', '0')], [('-7945', '2'), ('+7677', '1')], [('-7951', '2'), ('+7682', '1')], [('-7957', '2'), ('+7687', '1')], [('-7974', '2'), ('+7703', '1')], [('-10530', '2'), ('+10258', '1')], [('-10567', '2'), ('+10294', '1')], [('-10591', '1'), ('+10316', '0')], [('-10606', '1'), ('+10330', '0')], [('-10625', '1'), ('+10348', '0')], [('-10634', '1'), ('+10356', '0')], [('-10649', '1'), ('+10370', '0')], [('-10680', '1'), ('+10400', '0')], [('-10725', '1'), ('+10444', '0')], [('-10810', '1'), ('+10528', '0')], [('-10818', '2'), ('+10536', '1')], [('-10844', '2'), ('+10561', '1')], [('-10851', '1'), ('+10566', '0')], [('-10866', '1'), ('+10580', '0')], [('-10877', '2'), ('+10591', '1')], [('-10883', '2'), ('+10596', '1')], [('-10890', '1'), ('+10601', '0')], [('-10908', '1'), ('+10618', '0')], [('-10919', '1'), ('+10628', '0')], [('-10934', '1'), ('+10642', '0')], [('-10943', '1'), ('+10650', '0')], [('-10952', '1'), ('+10658', '0')], [('-10961', '1'), ('+10666', '0')], [('-10972', '1'), ('+10676', '0')], [('-10981', '1'), ('+10684', '0')], [('-10992', '1'), ('+10694', '0')], [('-11002', '2'), ('+10704', '1')], [('-11011', '1'), ('+10711', '0')], [('-11027', '1'), ('+10726', '0')], [('-11036', '1'), ('+10734', '0')], [('-11047', '1'), ('+10744', '0')], [('-11059', '1'), ('+10755', '0')], [('-11070', '1'), ('+10765', '0')], [('-11082', '1'), ('+10776', '0')], [('-11091', '1'), ('+10784', '0')], [('-11100', '1'), ('+10792', '0')], [('-11110', '2'), ('+10802', '1')], [('-11117', '1'), ('+10807', '0')], [('-11126', '1'), ('+10815', '0')], [('-11135', '1'), ('+10823', '0')], [('-11145', '2'), ('+10833', '1')], [('-11151', '2'), ('+10838', '1')], [('-11158', '1'), ('+10843', '0')], [('-11179', '1'), ('+10863', '0')], [('-11339', '1'), ('+11022', '0')], [('-11377', '1'), ('+11059', '0')], [('-11387', '1'), ('+11068', '0')], [('-11497', '2'), ('+11178', '1')], [('-11520', '1'), ('+11199', '0')], [('-11538', '2'), ('+11217', '1')], [('-11544', '2'), ('+11222', '1')], [('-11550', '2'), ('+11227', '1')], [('-11637', '1'), ('+11312', '0')], [('-11649', '1'), ('+11323', '0')], [('-11663', '1'), ('+11336', '0')], [('-11680', '2'), ('+11353', '1')], [('-11719', '1'), ('+11390', '0')], [('-11730', '1'), ('+11400', '0')], [('-11740', '2'), ('+11410', '1')], [('-11747', '1'), ('+11415', '0')], [('-11755', '2'), ('+11423', '1')], [('-11764', '1'), ('+11430', '0')], [('-11776', '1'), ('+11441', '0')], [('-11788', '1'), ('+11452', '0')], [('-11796', '2'), ('+11460', '1')], [('-11827', '1'), ('+11489', '0')], [('-11837', '1'), ('+11498', '0')], [('-11858', '1'), ('+11518', '0')], [('-11866', '2'), ('+11526', '1')], [('-11875', '1'), ('+11533', '0')], [('-11885', '1'), ('+11542', '0')], [('-12120', '1'), ('+11776', '0')], [('-12306', '1'), ('+11961', '0')], [('-12338', '1'), ('+11992', '0')], [('-12346', '2'), ('+12000', '1')], [('-12352', '2'), ('+12005', '1')], [('-12369', '2'), ('+12021', '1')], [('-12375', '2'), ('+12026', '1')], [('-12387', '2'), ('+12037', '1')], [('-12405', '2'), ('+12054', '1')], [('-12412', '1'), ('+12059', '0')], [('-12420', '2'), ('+12067', '1')], [('-12432', '1'), ('+12077', '0')], [('-12518', '2'), ('+12163', '1')], [('-12565', '2'), ('+12209', '1')], [('-12655', '1'), ('+12297', '0')], [('-12666', '1'), ('+12307', '0')], [('-12787', '1'), ('+12427', '0')], [('-12798', '1'), ('+12437', '0')], [('-12808', '1'), ('+12446', '0')], [('-12818', '1'), ('+12455', '0')], [('-12843', '1'), ('+12479', '0')], [('-12853', '2'), ('+12489', '1')], [('-12859', '2'), ('+12494', '1')], [('-12866', '1'), ('+12499', '0')], [('-12884', '1'), ('+12516', '0')], [('-12895', '1'), ('+12526', '0')], [('-12910', '1'), ('+12540', '0')], [('-12919', '1'), ('+12548', '0')], [('-12928', '1'), ('+12556', '0')], [('-12937', '1'), ('+12564', '0')], [('-12948', '1'), ('+12574', '0')], [('-12957', '1'), ('+12582', '0')], [('-12968', '1'), ('+12592', '0')], [('-12978', '2'), ('+12602', '1')], [('-12987', '1'), ('+12609', '0')], [('-13003', '1'), ('+12624', '0')], [('-13012', '1'), ('+12632', '0')], [('-13023', '1'), ('+12642', '0')], [('-13035', '1'), ('+12653', '0')], [('-13046', '1'), ('+12663', '0')], [('-13055', '1'), ('+12671', '0')], [('-13064', '1'), ('+12679', '0')], [('-13075', '1'), ('+12689', '0')], [('-13084', '1'), ('+12697', '0')], [('-13094', '2'), ('+12707', '1')], [('-13100', '2'), ('+12712', '1')], [('-13107', '1'), ('+12717', '0')], [('-13139', '1'), ('+12748', '0')], [('-13169', '1'), ('+12777', '0')], [('-13204', '1'), ('+12811', '0')], [('-13214', '1'), ('+12820', '0')], [('-13224', '2'), ('+12830', '1')], [('-13230', '2'), ('+12835', '1')], [('-13236', '2'), ('+12840', '1')], [('-13251', '2'), ('+12854', '1')], [('-13258', '1'), ('+12859', '0')], [('-13339', '2'), ('+12940', '1')], [('-13345', '2'), ('+12945', '1')], [('-13357', '2'), ('+12956', '1')], [('-13373', '1'), ('+12970', '0')], [('-13389', '1'), ('+12985', '0')], [('-13403', '2'), ('+12999', '1')], [('-13427', '2'), ('+13022', '1')], [('-13487', '1'), ('+13080', '0')], [('-13901', '2'), ('+13494', '1')], [('-13917', '1'), ('+13508', '0')], [('-13975', '2'), ('+13566', '1')], [('-13982', '1'), ('+13571', '0')], [('-13994', '1'), ('+13582', '0')], [('-14108', '1'), ('+13695', '0')], [('-14124', '1'), ('+13710', '0')], [('-14133', '1'), ('+13718', '0')], [('-14144', '1'), ('+13728', '0')], [('-14155', '1'), ('+13738', '0')], [('-14164', '1'), ('+13746', '0')], [('-14173', '1'), ('+13754', '0')], [('-14182', '1'), ('+13762', '0')], [('-14192', '2'), ('+13772', '1')], [('-14198', '2'), ('+13777', '1')], [('-14207', '1'), ('+13784', '0')], [('-14616', '2'), ('+14193', '1')], [('-14623', '1'), ('+14198', '0')], [('-14644', '2'), ('+14219', '1')], [('-14650', '2'), ('+14224', '1')], [('-14657', '1'), ('+14229', '0')], [('-14666', '2'), ('+14238', '1')], [('-14673', '1'), ('+14243', '0')], [('-14682', '2'), ('+14252', '1')], [('-14694', '1'), ('+14262', '0')], [('-14724', '2'), ('+14292', '1')], [('-14737', '1'), ('+14303', '0')], [('-14747', '1'), ('+14312', '0')], [('-14767', '2'), ('+14332', '1')], [('-14773', '2'), ('+14337', '1')], [('-14822', '1'), ('+14384', '0')], [('-14868', '1'), ('+14429', '0')], [('-15178', '1'), ('+14738', '0')], [('-15188', '1'), ('+14747', '0')], [('-15197', '2'), ('+14756', '1')], [('-15237', '1'), ('+14794', '0')], [('-15258', '1'), ('+14814', '0')], [('-15272', '1'), ('+14827', '0')], [('-15284', '1'), ('+14838', '0')], [('-15294', '1'), ('+14847', '0')], [('-15305', '1'), ('+14857', '0')], [('-15804', '2'), ('+15356', '1')], [('-15888', '2'), ('+15439', '1')], [('-15895', '1'), ('+15444', '0')], [('-15911', '2'), ('+15460', '1')], [('-15918', '1'), ('+15465', '0')], [('-15930', '1'), ('+15476', '0')], [('-15959', '1'), ('+15504', '0')], [('-15969', '1'), ('+15513', '0')], [('-15980', '1'), ('+15523', '0')], [('-15990', '2'), ('+15533', '1')], [('-15996', '2'), ('+15538', '1')], [('-16010', '2'), ('+15551', '1')], [('-16059', '2'), ('+15599', '1')], [('-16093', '2'), ('+15632', '1')], [('-16146', '1'), ('+15683', '0')], [('-16155', '2'), ('+15692', '1')], [('-16177', '1'), ('+15712', '0')], [('-16191', '1'), ('+15725', '0')], [('-16216', '1'), ('+15749', '0')], [('-17268', '2'), ('+16801', '1')], [('-17284', '1'), ('+16816', '1')], [('-17287', '0'), ('+16820', '1')], [('-17364', '1'), ('+16896', '0')], [('-17394', '1'), ('+16925', '0')], [('-17403', '2'), ('+16934', '1')], [('-17410', '1'), ('+16939', '0')], [('-17419', '1'), ('+16947', '0')], [('-17430', '1'), ('+16957', '0')], [('-17561', '2'), ('+17088', '1')]]","{'78034b23', '5f027581', 'a9dee703', 'b0f73931'}"
d59e438,package.json,"[[('-3', '1'), ('+3', '1')]]",{'a9dee703'}
7647520,package-lock.json,"[[('-3', '1'), ('+3', '1')]]",{'27646cd2'}
7647520,package.json,"[[('-3', '1'), ('+3', '1')]]",{'27646cd2'}
a9e086f,package-lock.json,"[[('-3', '1'), ('+3', '1')]]",{'13dae3e9'}
a9e086f,package.json,"[[('-3', '1'), ('+3', '1')]]",{'13dae3e9'}
e71fd1d,package.json,"[[('-7', '4'), ('+7', '4')]]","{'^cbd51dd', '3f226d5c'}"
